"","OrderTime","Description","Conid","TradeDate","Currency","Buy.Sell","Quantity","TradePrice","Proceeds","ClientId","Fx","SoumisSuisse","SoumisEtr","NonSoumis","cliNbr"
"139","20170726;093452","ENSCO PLC-CL A","107375361",2017-07-26,"USD","VTE",-2078,5.571,11575.94,"U1427234",0.95077,0,11006,0,2
"140","20170726;093452","ENSCO PLC-CL A","107375361",2017-07-26,"USD","ACH",-2078,5.571,11575.94,"Interactive Brokers",0.95077,0,0,11006,2
"141","20170726;093452","GENERAL ELECTRIC CO","7516",2017-07-26,"USD","ACH",550,25.609,14085.21,"U1427234",0.95077,0,13392,0,2
"142","20170726;093452","GENERAL ELECTRIC CO","7516",2017-07-26,"USD","VTE",550,25.609,14085.21,"Interactive Brokers",0.95077,0,0,13392,2
"143","20170726;093452","GILEAD SCIENCES INC","269753",2017-07-26,"USD","VTE",-187,73.661,13774.5157,"U1427234",0.95077,0,13096,0,2
"144","20170726;093452","GILEAD SCIENCES INC","269753",2017-07-26,"USD","ACH",-187,73.661,13774.5157,"Interactive Brokers",0.95077,0,0,13096,2
"145","20170726;093452","PACCAR INC","272992",2017-07-26,"USD","VTE",-147,68.45,10062.15,"U1427234",0.95077,0,9567,0,2
"146","20170726;093452","PACCAR INC","272992",2017-07-26,"USD","ACH",-147,68.45,10062.15,"Interactive Brokers",0.95077,0,0,9567,2
"147","20170726;093452","SPDR S&P 500 ETF TRUST","756733",2017-07-26,"USD","VTE",-124,247.59,30701.16,"U1427234",0.95077,0,29190,0,2
"148","20170726;093452","SPDR S&P 500 ETF TRUST","756733",2017-07-26,"USD","ACH",-124,247.59,30701.16,"Interactive Brokers",0.95077,0,0,29190,2
"149","20170726;093452","UNITED TECHNOLOGIES CORP","13364",2017-07-26,"USD","ACH",213,120.3,25623.887,"U1427234",0.95077,0,24362,0,2
"150","20170726;093452","UNITED TECHNOLOGIES CORP","13364",2017-07-26,"USD","VTE",213,120.3,25623.887,"Interactive Brokers",0.95077,0,0,24362,2
"151","20170726;094320","ABB LTD-REG","2682965",2017-07-26,"CHF","ACH",839,22.43,18818.77,"U1427234",1,18819,0,0,2
"152","20170726;094320","ABB LTD-REG","2682965",2017-07-26,"CHF","VTE",839,22.43,18818.77,"Interactive Brokers",1,0,0,18819,2
"153","20170726;094320","BAE SYSTEMS PLC","908964",2017-07-26,"GBP","ACH",2495,6.035,15057.325,"U1427234",1.2477,0,18787,0,2
"154","20170726;094320","BAE SYSTEMS PLC","908964",2017-07-26,"GBP","VTE",2495,6.035,15057.325,"Interactive Brokers",1.2477,0,0,18787,2
"155","20170726;094320","EASYJET PLC","103665937",2017-07-26,"GBP","VTE",-1144,12.72,14551.68,"U1427234",1.2477,0,18156,0,2
"156","20170726;094320","EASYJET PLC","103665937",2017-07-26,"GBP","ACH",-1144,12.72,14551.68,"Interactive Brokers",1.2477,0,0,18156,2
"157","20170726;094320","EIFFAGE","1254491",2017-07-26,"EUR","VTE",-178,81.27,14466.06,"U1427234",1.1156,0,16138,0,2
"158","20170726;094320","EIFFAGE","1254491",2017-07-26,"EUR","ACH",-178,81.27,14466.06,"Interactive Brokers",1.1156,0,0,16138,2
"159","20170726;094320","NESTLE SA-REG","52238348",2017-07-26,"CHF","VTE",-115,82.65,9504.75,"U1427234",1,9505,0,0,2
"160","20170726;094320","NESTLE SA-REG","52238348",2017-07-26,"CHF","ACH",-115,82.65,9504.75,"Interactive Brokers",1,0,0,9505,2
"161","20170726;094321","BAYER AG-REG","68598660",2017-07-26,"EUR","VTE",-133,111.675,14852.775,"U1427234",1.1156,0,16570,0,2
"162","20170726;094321","BAYER AG-REG","68598660",2017-07-26,"EUR","ACH",-133,111.675,14852.775,"Interactive Brokers",1.1156,0,0,16570,2
"163","20170726;094321","BAYERISCHE MOTOREN WERKE AG","14094",2017-07-26,"EUR","ACH",160,79.031,12644.96,"U1427234",1.1156,0,14107,0,2
"164","20170726;094321","BAYERISCHE MOTOREN WERKE AG","14094",2017-07-26,"EUR","VTE",160,79.031,12644.96,"Interactive Brokers",1.1156,0,0,14107,2
"165","20170726;094321","DAIMLER AG-REGISTERED SHARES","29622935",2017-07-26,"EUR","ACH",209,60.393,12622.137,"U1427234",1.1156,0,14081,0,2
"166","20170726;094321","DAIMLER AG-REGISTERED SHARES","29622935",2017-07-26,"EUR","VTE",209,60.393,12622.137,"Interactive Brokers",1.1156,0,0,14081,2
"167","20170726;094321","RENAULT SA","29612183",2017-07-26,"EUR","ACH",206,81.711,16832.466,"U1427234",1.1156,0,18778,0,2
"168","20170726;094321","RENAULT SA","29612183",2017-07-26,"EUR","VTE",206,81.711,16832.466,"Interactive Brokers",1.1156,0,0,18778,2
"169","20170726;094324","KLEPIERRE","1254551",2017-07-26,"EUR","ACH",298,35.296,10518.2,"U1427234",1.1156,0,11734,0,2
"170","20170726;094324","KLEPIERRE","1254551",2017-07-26,"EUR","VTE",298,35.296,10518.2,"Interactive Brokers",1.1156,0,0,11734,2
"171","20170726;094353","BT GROUP PLC","13672206",2017-07-26,"GBP","VTE",-4728,3.108,14694.622,"U1427234",1.2477,0,18334,0,2
"172","20170726;094353","BT GROUP PLC","13672206",2017-07-26,"GBP","ACH",-4728,3.108,14694.622,"Interactive Brokers",1.2477,0,0,18334,2
"173","20170906;033644","CIE FINANCIERE RICHEMONT-REG","134773421",2017-09-06,"CHF","ACH",70,85.8,6006,"U2202020",1,6006,0,0,2
"174","20170906;033644","CIE FINANCIERE RICHEMONT-REG","134773421",2017-09-06,"CHF","VTE",70,85.8,6006,"Interactive Brokers",1,0,0,6006,2
"175","20170906;033644","GIVAUDAN-REG","8945997",2017-09-06,"CHF","ACH",6,1973,11838,"U2202020",1,11838,0,0,2
